46,I'm So Groovy,by Future,Future,Rap,2017-02-17,
26,In Her Mouth,by Future,Evol,Rap,2016-02-06,
58,Incredible,by Future,Hndrxx,Rap,2017-02-24,
90,Jumpin on a Jet,by Future,The Wizrd,Rap,2019-01-18,
62,Keep Quiet,by Future,Hndrxx,Rap,2017-02-24,
23,Kno the Meaning,by Future,DS2 (Deluxe),Rap,2015-07-17,
100,Krazy but True,by Future,The Wizrd,Rap,2019-01-18,
126,Last Name (featuring Lil Durk),by Future,High Off Life,Rap,2020-05-15,
32,Lie to Me,by Future,Evol,Rap,2016-02-06,
125,Life Is Good (featuring Drake),by Future,High Off Life,Rap,2020-05-15,
29,Lil Haiti Baby,by Future,Evol,Rap,2016-02-06,
11,Lil One,by Future,DS2,Rap,2015-07-17,
55,Lookin Exotic,by Future,Hndrxx,Rap,2017-02-24,
133,Love You Better,by Future,I Never Liked You,Rap,2022-04-29,
34,Low Life,by Future (feat. The Weeknd),Evol,Rap,2016-02-06,
42,Mask Off,by Future,Future,Rap,2017-02-17,
49,Massage in My Room,by Future,Future,Rap,2017-02-17,
134,Massaging Me,by Future,I Never Liked You,Rap,2022-04-29,
27,Maybach,by Future,Evol,Rap,2016-02-06,
47,Might as Well,by Future,Future,Rap,2017-02-17,
53,My Collection,by Future,Hndrxx,Rap,2017-02-24,
61,Neva Missa Lost,by Future,Hndrxx,Rap,2017-02-24,
89,Never Stop,by Future,The Wizrd,Rap,2019-01-18,
65,New Illuminati,by Future,Hndrxx,Rap,2017-02-24,
1,Nokia,by Drake,$$$4U,Rap,2025-02-14,
114,One of My,by Future,High Off Life,Rap,2020-05-15,
123,Outer Space Bih,by Future,High Off Life,Rap,2020-05-15,
44,Outta Time,by Future,Future,Rap,2017-02-17,
99,Overdose,by Future,The Wizrd,Rap,2019-01-18,
30,Photo Copied,by Future,Evol,Rap,2016-02-06,
70,Pie,by Future (feat. Chris Brown),Hndrxx (Deluxe),Rap,2017-02-24,
41,POA,by Future,Future,Rap,2017-02-17,
48,Poppin' Tags,by Future,Future,Rap,2017-02-17,
115,Posted with Demons,by Future,High Off Life,Rap,2020-05-15,
129,Posted with Demons,by Future,High Off Life,Rap,2020-05-15,
120,Pray for a Key,by Future,High Off Life,Rap,2020-05-15,
33,Program,by Future,Evol,Rap,2016-02-06,
97,Promise U That,by Future,The Wizrd,Rap,2019-01-18,
130,Puffin on Zootiez,by Future,I Never Liked You,Rap,2022-04-29,
36,Rent Money,by Future,Future,Rap,2017-02-17,
18,Rich $ex,by Future,DS2,Rap,2015-07-17,
113,Ridin Strikers,by Future,High Off Life,Rap,2020-05-15,
91,Rocket Ship,by Future,The Wizrd,Rap,2019-01-18,
14,Rotation,by Future,DS2,Rap,2015-07-17,
45,Scrape,by Future,Future,Rap,2017-02-17,
67,Selfish,by Future (feat. Rihanna),Hndrxx,Rap,2017-02-24,
101,Servin Killa Kam,by Future,The Wizrd,Rap,2019-01-18,
31,Seven Rings,by Future,Evol,Rap,2016-02-06,
15,Slave Master,by Future,DS2,Rap,2015-07-17,
112,Solitaires (featuring Travis Scott),by Future,High Off Life,Rap,2020-05-15,
68,Solo,by Future,Hndrxx,Rap,2017-02-24,
69,Sorry,by Future,Hndrxx,Rap,2017-02-24,
12,Stick Talk,by Future,DS2,Rap,2015-07-17,
98,Stick to the Models,by Future,The Wizrd,Rap,2019-01-18,
40,Super Trapper,by Future,Future,Rap,2017-02-17,
96,Talk Shit Like a Preacher,by Future,The Wizrd,Rap,2019-01-18,
92,Temptation,by Future,The Wizrd,Rap,2019-01-18,
59,Testify,by Future,Hndrxx,Rap,2017-02-24,
21,The Percocet & Stripper Joint,by Future,DS2 (Deluxe),Rap,2015-07-17,
7,Thought It Was a Drought,by Future,DS2,Rap,2015-07-17,
121,Too Comfortable,by Future,High Off Life,Rap,2020-05-15,
